song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label
Olpo Loiya Thaki.mp3,129.1992188,165837,1316.166667,0.234045544,0.296098801,0.0876745,0.391686652,0.283003674,0.080091079,0.228319822,0.176644819,0.031203392,13.44903214,130.1519398,16939.52743,-1.494567919,42.07139871,1770.002589,0.008992797,1.899473284,3.607998755,0.215573072,0.111782394,0.012495304,1616.122005,505.6557489,255687.7364,1990.989406,343.9193726,118280.5349,25.22610528,6.057745894,36.69628532,3372.008777,1211.601883,1467979.123,1.989595252,2.434727153,5.927896311,0.011207757,0.104293292,0.010877091,0.06917324,0.035863568,0.001286196,0.000675942,0.226915658,0.051490717,0.000595332,0.042927999,0.001842813,3.361088435,1.526716433,2.330863065,2
Onek Diyecho Nath.mp3,129.1992188,162181,1267.039063,0.239804587,0.299556783,0.089734266,0.386461598,0.285569485,0.081549931,0.229917479,0.174560265,0.030471286,13.94939679,118.7462268,14100.66637,-1.162281063,31.87224156,1015.839782,0.009670024,2.333617744,5.445771777,0.229056552,0.09021531,0.008138803,2386.751883,739.4405782,546772.3687,2737.225044,388.3702949,150831.4859,23.34342546,6.524402956,42.56783393,5680.253152,1599.068472,2557019.979,2.048831922,2.250281426,5.063766497,-0.022123761,0.098669932,0.009735755,0.079481568,0.054042869,0.002920632,0.00011842,0.229440838,0.052643098,0.000161489,0.049275182,0.002428043,2.529814059,1.328974281,1.766172639,2
Ontoro Momo Bikoshito.mp3,123.046875,56180,769.5890411,0.214193042,0.294848386,0.086935571,0.391339857,0.289395084,0.083749515,0.230740821,0.173470478,0.030092007,11.80098736,82.50187607,6806.559556,-4.06620238,49.36321782,2436.727274,0.013773648,2.572465713,6.617579847,0.216098413,0.067832761,0.004601283,1571.10343,688.2098527,473632.8014,1902.683057,607.6313237,369215.8256,23.79194546,6.480590607,41.99805461,3097.868768,1751.606866,3068126.612,2.023846284,2.394561243,5.733923548,-0.001328937,0.092451957,0.008547364,0.06477852,0.028841273,0.000831819,-9.74E-07,0.20693256,0.042821083,3.30E-06,0.048752222,0.002376779,3.739573696,1.930184132,3.725610784,2
Ore Agun Amar Bhai.mp3,112.3471467,143100,1289.189189,0.250559646,0.317627175,0.100887022,0.436705651,0.289197363,0.083635115,0.244784434,0.153016058,0.023413914,27.46591938,190.8039733,36406.15624,0.693609832,35.55803253,1264.373677,0.014057473,2.109521641,4.450081555,0.320129961,0.14027527,0.019677151,1937.769081,536.9663683,288332.8807,2270.264156,304.1294751,92494.7376,22.94121639,6.554861393,42.96620789,4134.091668,1206.900404,1456608.585,3.089116227,3.725895611,13.8822981,-0.000328627,0.08458392,0.007154439,0.071502024,0.025163682,0.000633211,-0.001482265,0.305039525,0.093049116,-0.00236157,0.100761361,0.010152852,2.381206349,1.09295404,1.194548534,2
Ore Bhiru Tomar Hate.mp3,103.359375,125890,1258.9,0.215856532,0.299966185,0.089979712,0.41813097,0.284241276,0.080793103,0.243041837,0.155769056,0.024263999,13.88368413,102.6735741,10541.86281,-0.074496952,37.52637075,1408.228502,0.010503168,2.392979947,5.726353025,0.236590236,0.067402184,0.004543054,1725.275889,472.407511,223168.8564,2142.755025,360.0012992,129600.9354,22.48034106,6.939326206,48.15424819,3609.336508,1357.719097,1843401.148,2.197188677,2.387600595,5.700636603,-0.013100937,0.083981402,0.007052876,0.068471997,0.034567305,0.001194899,-0.000385751,0.216564968,0.046900384,-0.000634138,0.069868207,0.004881567,3.883537415,2.613156767,6.828588289,2
Ore Kere Emon.mp3,161.4990234,188852,1242.447368,0.270645534,0.299088224,0.089453766,0.452891588,0.278305755,0.077454093,0.246792042,0.149756539,0.022427021,9.53346309,57.78421714,3339.01575,0.43097751,37.72330693,1423.047886,0.014255893,2.615486245,6.840768296,0.205237135,0.068825081,0.004736891,2026.116451,589.0770407,347011.7599,2188.708125,427.427202,182694.013,25.31723954,6.867135245,47.15754647,4013.629897,1248.511882,1558781.921,2.100589483,2.32519506,5.406532066,-0.00432548,0.086021026,0.007399617,0.109527871,0.044992352,0.002024312,0.000129349,0.197024733,0.038818747,0.000693919,0.052818447,0.002789788,3.52246712,1.920377287,3.687848925,2
Ore Pathik Ore Premik.mp3,123.046875,156852,1275.219512,0.268235269,0.319614297,0.102153299,0.441182405,0.275399195,0.075844716,0.247862699,0.147977755,0.021897416,10.63745786,85.8896046,7377.024177,-1.184316197,32.90115909,1082.486269,0.004864824,2.268191747,5.144693803,0.203720808,0.074870795,0.005605636,2295.639402,637.3046483,406157.2148,2694.887283,470.4235375,221298.3047,23.3931801,6.876137834,47.28127151,5431.725488,1736.505263,3015450.528,1.979290575,2.207583212,4.873423637,0.001438463,0.078215059,0.006117595,0.105435681,0.057022941,0.003251616,2.55E-06,0.182942942,0.03346812,2.27E-05,0.069581755,0.004841621,2.77478458,1.869999409,3.496897791,2
Orupo Beena Ruper Arale.mp3,161.4990234,206114,1288.2125,0.243194051,0.302784749,0.091678604,0.398833401,0.284903239,0.081169856,0.234811054,0.167919927,0.028197102,29.86083442,185.8137829,34526.76191,3.417476495,36.15962204,1307.518266,0.005561444,2.020134973,4.080945309,0.342790425,0.103747487,0.010763542,1394.108833,332.4579225,110528.2702,1899.317844,237.9258919,56608.73004,22.57630818,6.132625084,37.60909042,2753.145852,912.9246932,833431.4955,3.341142655,3.601439048,12.97036321,0.023398121,0.090357733,0.00816452,0.051415978,0.02011326,0.000404543,0.000359192,0.318178982,0.101237856,0.001505402,0.091236591,0.008324116,3.030204082,1.717719589,2.950560585,2
Oshim Akashe Ogonno .mp3,89.10290948,110171,1266.333333,0.23527964,0.301440038,0.090866096,0.398121446,0.283494935,0.080369378,0.233701409,0.169460865,0.028716985,26.64994733,161.712069,26150.79325,-0.446002835,42.38975147,1796.89103,0.006633989,1.950246048,3.803459649,0.323152274,0.09369836,0.008779382,1188.220568,358.0645013,128210.1871,1729.660291,285.051647,81254.44147,23.43805406,6.486229545,42.07117371,2216.111599,990.7131293,981512.5045,2.835468513,3.114076013,9.697469412,-0.007301307,0.091403694,0.008354635,0.043268635,0.018800979,0.000353477,-6.97E-05,0.312129945,0.097425096,-0.000245522,0.064616531,0.004175297,4.047238095,2.03414092,4.137729281,2
Oshim Kaalsagore Bhubon.mp3,117.4538352,146662,1253.521368,0.3036664,0.302771682,0.091670691,0.449893667,0.27727841,0.076883317,0.248118794,0.14754795,0.021770397,24.33971064,168.3328499,28335.94835,1.058422305,42.67756003,1821.37413,0.003091188,2.174360385,4.727843086,0.306988001,0.096563809,0.009324569,1227.577598,402.4691715,161981.434,1845.435637,309.6906236,95908.28232,23.5716904,7.193319382,51.74384374,2483.630815,1089.782917,1187626.806,2.712582898,3.01196598,9.071939067,0.004111887,0.077062862,0.005938685,0.038934194,0.020935187,0.000438282,-0.000157175,0.291526556,0.084987737,-0.000921302,0.07030236,0.004942422,3.33322449,1.626117728,2.644258865,2
